scenario_id,E_RF_Jm,E_BAT_Jm,E_BB_Jm,E_PA_Jm
6pro_3G_YTshorts_stat,54.495000000000005,155.435,42.43,12.065
6pro_3G_call_Dyna,37.73,113.27,34.89,2.84
6pro_3G_insta_stat,48.989999999999995,194.39,43.31,5.675000000000001
6pro_3G_tiktok_stat,53.01666666666667,164.24,44.99,8.026666666666666
6pro_LTE_YTshorts_stat,68.08500000000001,-2.519999999999996,49.155,18.93
6pro_LTE_call_Dyna,34.913333333333334,113.06333333333333,33.17666666666667,1.7366666666666666
6pro_LTE_insta_Dyna,53.0,191.86,47.56,5.433333333333334
6pro_LTE_insta_stat,72.80000000000001,199.71499999999997,66.85,5.945
6pro_LTE_tiktok_Dyna,58.105,176.05,50.0325,8.07
6pro_LTE_tiktok_stat,57.08,-33.5,44.754999999999995,12.325
