scenario_id,E_BAT_Jm,E_RF_Jm,E_BB_Jm,E_PA_Jm
12mini_5G_amazon_Good_stat,56.637,20.8065,0,0
12mini_5G_apple_Auto_stat,44.244,10.466999999999999,0,0
12mini_5G_apple_High_stat,52.775999999999996,16.852,0,0
12mini_5G_disney_Auto_stat,60.885999999999996,24.68,0,0
12mini_5G_disney_Eco_stat,59.283,23.082,0,0
12mini_5G_netflix_Eco_stat,59.56733333333334,21.43,0,0
12mini_5G_youtube_720p_stat,70.716,26.805,0,0
12mini_LTE_amazon_Good_stat,62.868,25.49727272727273,0,0
12mini_LTE_amazon_Optimal_stat,67.55999999999999,30.267000000000003,0,0
12mini_LTE_amazon_VeryGood_stat,65.505,27.738,0,0
12mini_LTE_apple_Auto_stat,43.1544,11.020800000000001,0,0
12mini_LTE_apple_High_stat,42.032000000000004,8.7,0,0
12mini_LTE_disney_Auto_stat,51.845,14.821,0,0
12mini_LTE_disney_Eco_stat,51.7596,15.031199999999998,0,0
12mini_LTE_netflix_Eco_stat,49.902,12.130799999999999,0,0
12mini_LTE_netflix_Max_stat,58.065,19.938000000000002,0,0
12mini_LTE_youtube_360p_stat,56.406,13.767,0,0
12mini_LTE_youtube_480p_stat,58.62,14.418,0,0
12mini_LTE_youtube_720p_stat,62.60399999999999,18.156000000000002,0,0
12mini_WiFi_amazon_Good_stat,45.39,7.0875,0,0
12mini_WiFi_apple_Auto_stat,37.494,2.814,0,0
12mini_WiFi_apple_High_stat,36.21,2.7239999999999998,0,0
12mini_WiFi_disney_Eco_stat,39.8145,3.3645,0,0
12mini_WiFi_netflix_Eco_stat,41.105999999999995,3.0159999999999996,0,0
12mini_WiFi_youtube_720p_stat,46.831199999999995,2.8620000000000005,0,0
x_3G_amazon_Good_stat,76.212,25.978,0,0
x_3G_apple_Auto_stat,52.342,9.741999999999999,0,0
x_3G_disney_Auto_stat,82.91399999999999,35.891999999999996,0,0
x_3G_disney_Eco_stat,67.377,18.459,0,0
x_3G_netflix_Eco_stat,52.476,9.584,0,0
x_3G_youtube_720p_stat,89.28799999999998,16.433999999999997,0,0
x_LTE_amazon_Good_stat,73.70200000000001,25.253,0,0
x_LTE_apple_Auto_stat,60.006,13.754399999999999,0,0
x_LTE_disney_Auto_stat,83.316,27.792,0,0
x_LTE_disney_Eco_stat,61.257999999999996,16.732,0,0
x_LTE_netflix_Eco_stat,60.844500000000004,13.404000000000002,0,0
x_LTE_youtube_720p_stat,86.7195,17.8815,0,0
x_WiFi_amazon_Auto_stat,59.406,8.994,0,0
x_WiFi_amazon_Good_stat,61.290000000000006,10.554,0,0
x_WiFi_apple_Auto_stat,49.818000000000005,6.474,0,0
x_WiFi_apple_Eco_stat,50.58,7.386,0,0
x_WiFi_disney_Auto_stat,54.821999999999996,8.058,0,0
x_WiFi_disney_Eco_stat,57.708,8.748000000000001,0,0
x_WiFi_netflix_Eco_stat,62.61600000000001,7.32,0,0
